name,code,close,change_pct,macd,obv,rsi,trend,volume,score,stars,signal,ma20,ma60,sector
飞沃科技,300825.SZ,8.77,-4.362050163576885,金叉,↓,46.2,下降,正常,3,⭐⭐⭐☆☆,观察,8.89,9.82,风电
江波龙,301308.SZ,325.5,0.4877747591997975,死叉,↑,41.3,震荡,正常,2,⭐⭐☆☆☆,观察,320.89,315.45,存储
永鼎股份,600105.SH,34.64,4.243153776707806,金叉,↑,73.6,震荡,正常,2,⭐⭐☆☆☆,观察,28.28,27.84,光模块
生益科技,600183.SH,59.2,0.3730077992539945,金叉,↑,47.0,下降,正常,3,⭐⭐⭐☆☆,观察,57.97,64.52,PCB
东阳光,600673.SH,31.5,-2.1435228331779985,死叉,↓,40.5,N/A,正常,2,⭐⭐☆☆☆,观察,32.08,,其他
剑桥科技,603083.SH,115.55,3.585835948005379,金叉,↑,49.9,震荡,放量,4,⭐⭐⭐⭐☆,买入,109.36,111.37,光模块
数据港,603881.SH,39.0,-0.6369426751592357,金叉,↓,48.3,震荡,正常,3,⭐⭐⭐☆☆,观察,37.34,37.4,数据中心
兆易创新,603986.SH,250.49,-2.1370526644788246,死叉,↓,26.9,下降,正常,1,⭐☆☆☆☆,卖出,270.38,281.95,存储
德业股份,605117.SH,126.91,2.9278183292781828,死叉,↑,48.7,上升,正常,3,⭐⭐⭐☆☆,观察,129.74,107.38,储能
拓荆科技,688072.SH,391.85,3.2678877322440467,金叉,↑,71.4,震荡,正常,2,⭐⭐☆☆☆,观察,358.5,357.93,半导体设备
嘉元科技,688388.SH,45.16,-1.5049073064340346,金叉,↓,65.6,下降,正常,3,⭐⭐⭐☆☆,观察,41.67,43.31,铜箔
海博思创,688411.SH,222.88,0.3511931562359303,死叉,↑,36.8,上升,缩量,3,⭐⭐⭐☆☆,观察,254.24,240.79,储能
艾罗能源,688717.SH,110.07,2.8691588785046664,死叉,↑,32.0,上升,正常,3,⭐⭐⭐☆☆,观察,125.14,106.03,储能
万泽股份,000534.SZ,41.53,5.593694380879743,死叉,↑,49.2,上升,放量,4,⭐⭐⭐⭐☆,买入,39.51,34.05,材料
德明利,001309.SZ,406.58,3.376557335367397,金叉,↑,64.9,上升,正常,4,⭐⭐⭐⭐☆,买入,360.96,292.12,存储
大金重工,002487.SZ,72.69,1.5081692501047315,死叉,↑,56.4,上升,正常,3,⭐⭐⭐☆☆,观察,73.06,65.47,风电
英维克,002837.SZ,93.09,1.7377049180327908,死叉,↑,36.3,下降,正常,2,⭐⭐☆☆☆,观察,94.9,100.23,液冷
深南电路,002916.SZ,243.0,2.3114816218264536,金叉,↑,46.5,下降,正常,3,⭐⭐⭐☆☆,观察,237.71,243.93,PCB
泰胜风能,300129.SZ,12.41,-1.115537848605582,死叉,↓,34.5,下降,缩量,2,⭐⭐☆☆☆,观察,13.15,13.96,风电
光环新网,300383.SZ,17.48,-1.7977528089887655,金叉,↓,53.4,上升,缩量,4,⭐⭐⭐⭐☆,买入,16.59,15.94,数据中心
佰维存储,300667.SZ,16.79,-1.9275700934579545,金叉,↓,51.6,下降,缩量,3,⭐⭐⭐☆☆,观察,16.27,18.09,存储
奥飞数据,300738.SZ,22.65,-1.8630849220103975,金叉,↓,44.2,下降,正常,3,⭐⭐⭐☆☆,观察,22.4,23.09,数据中心
宁德时代,300750.SZ,389.99,-0.33478149757219583,死叉,↓,44.5,上升,正常,3,⭐⭐⭐☆☆,观察,400.54,371.06,储能
锦浪科技,300763.SZ,90.75,0.3760645946244922,死叉,↑,37.9,上升,正常,3,⭐⭐⭐☆☆,观察,101.75,88.95,储能
广联航空,300900.SZ,38.32,-1.7435897435897427,金叉,↓,43.6,震荡,缩量,3,⭐⭐⭐☆☆,观察,37.61,37.84,其他
超捷股份,301005.SZ,149.94,-3.258274727401775,金叉,↓,50.6,下降,缩量,3,⭐⭐⭐☆☆,观察,148.81,168.88,机器人
国能日新,301162.SZ,62.03,-0.6884406019852701,死叉,↓,30.6,震荡,正常,2,⭐⭐☆☆☆,观察,68.49,68.52,其他
德福科技,301515.SZ,22.32,-4.492939666238771,金叉,↓,46.2,下降,正常,3,⭐⭐⭐☆☆,观察,22.57,24.18,铜箔
中天科技,600522.SH,31.4,2.280130293159607,金叉,↑,73.7,上升,正常,3,⭐⭐⭐☆☆,观察,28.29,24.74,风电
东方电气,600875.SH,38.31,0.026109660574425896,死叉,↑,49.5,上升,正常,3,⭐⭐⭐☆☆,观察,37.45,32.82,燃机电力
航天电子,600879.SH,21.56,0.2790697674418545,金叉,↑,43.4,下降,正常,3,⭐⭐⭐☆☆,观察,21.83,24.97,其他
应流股份,603308.SH,68.7,2.537313432835825,金叉,↑,63.3,上升,正常,4,⭐⭐⭐⭐☆,买入,62.65,58.76,燃机电力
大位科技,603316.SH,14.14,-0.2820874471085977,死叉,↓,32.0,震荡,正常,2,⭐⭐☆☆☆,观察,14.91,14.69,算力云
中微公司,688012.SH,321.3,1.136327866788383,金叉,↑,53.2,下降,正常,3,⭐⭐⭐☆☆,观察,309.47,336.75,半导体设备
斯瑞新材,688102.SH,34.1,-5.722974841028477,死叉,↓,37.1,下降,正常,2,⭐⭐☆☆☆,观察,36.46,40.69,其他
南网科技,688248.SH,55.97,-1.7208077260755117,死叉,↓,35.6,上升,缩量,3,⭐⭐⭐☆☆,观察,61.91,56.74,南网科技
寒武纪,688256.SH,1198.0,2.9209621993127146,金叉,↑,65.8,下降,正常,3,⭐⭐⭐☆☆,观察,1056.52,1175.44,AI芯片
固德威,688390.SH,82.22,0.21940516821061995,死叉,↑,29.6,上升,正常,2,⭐⭐☆☆☆,观察,93.4,87.08,储能
南亚新材,688519.SH,134.16,2.8045977011494228,死叉,↑,47.5,上升,正常,3,⭐⭐⭐☆☆,观察,134.88,106.62,PCB
金盘科技,688676.SH,84.77,4.589759407772978,金叉,↑,54.8,下降,放量,4,⭐⭐⭐⭐☆,买入,80.6,91.35,AIDC电源
潍柴动力,000338.SZ,25.98,2.283464566929141,金叉,↑,60.8,震荡,正常,3,⭐⭐⭐☆☆,观察,24.48,24.31,燃机电力
佛塑科技,000973.SZ,17.41,-2.6830631637786495,死叉,↓,65.5,上升,缩量,3,⭐⭐⭐☆☆,观察,17.23,14.58,其他
思源电气,002028.SZ,202.68,-1.963819289929381,死叉,↓,42.8,上升,正常,3,⭐⭐⭐☆☆,观察,208.16,201.71,其他
融捷股份,002192.SZ,73.05,1.9112723214285576,金叉,↑,72.8,上升,正常,3,⭐⭐⭐☆☆,观察,65.16,58.84,锂电材料
